meanconcen,il8mean,il1mean,il6mean,il10mean,tnfmean,tgfmean,il8std,il1std,il6std,il10std,tnfstd,tgfstd
0,9.068486e-10,0.0,0.0,0.0,0.0,0.0,2.107207e-10,0.0,0.0,0.0,0.0,0.0
10000,1.2457053e-09,1.2837937e-12,0.0,0.0,2.3135085e-12,0.0,3.7404588e-10,5.38306e-11,0.0,0.0,9.7588555e-11,0.0
20000,1.4749935e-09,2.9761265e-12,2.504123e-25,0.0,5.34714e-12,1.9370363e-21,4.6326637e-10,8.181212e-11,0.0,0.0,1.4830764e-10,1.3605e-19
30000,1.6594501e-09,5.6729487e-12,5.150992e-12,1.0602526e-12,1.2284214e-11,1.0992276e-12,5.3366556e-10,1.1173247e-10,1.3272598e-10,2.7564524e-11,2.1293237e-10,5.7307353e-11
40000,1.8299239e-09,1.3142325e-11,5.184647e-12,1.0584279e-12,2.5112561e-11,3.2936692e-12,5.85967e-10,1.7088582e-10,1.3016431e-10,2.738981e-11,3.1266248e-10,9.908637e-11
50000,1.9862965e-09,1.4873491e-11,5.234583e-12,1.0603003e-12,2.7359571e-11,4.456268e-12,6.3751315e-10,1.7911492e-10,1.3255219e-10,2.7510084e-11,3.26865e-10,1.1439245e-10
60000,2.1402446e-09,1.9278482e-11,4.6202677e-12,9.295373e-13,3.4668907e-11,8.3452256e-12,6.7339323e-10,2.0507035e-10,1.2400866e-10,2.572519e-11,3.78358e-10,1.5647066e-10
70000,2.2858069e-09,2.1545616e-11,6.1566733e-12,1.2098069e-12,3.7459813e-11,5.0922122e-12,7.146111e-10,2.10907e-10,1.4090461e-10,2.9180533e-11,3.8314196e-10,1.1777013e-10
80000,2.4263385e-09,2.72217e-11,6.5124434e-12,1.3240008e-12,4.6733287e-11,1.2285368e-11,7.5082673e-10,2.3538138e-10,1.4359287e-10,3.0412475e-11,4.2838721e-10,1.8615992e-10
90000,2.574931e-09,2.8525293e-11,8.962905e-12,1.846651e-12,5.0036024e-11,1.470405e-11,7.716459e-10,2.3913868e-10,1.7033965e-10,3.5942863e-11,4.4051265e-10,2.0314639e-10
100000,2.7173335e-09,2.7938242e-11,4.722502e-12,9.357865e-13,4.7192056e-11,1.661158e-11,7.951158e-10,2.314065e-10,1.171978e-10,2.5118662e-11,4.3177914e-10,2.1497334e-10
110000,2.8416165e-09,2.849387e-11,7.014626e-12,1.3587176e-12,4.7822316e-11,1.31236645e-11,8.362498e-10,2.3090266e-10,1.48935e-10,3.0848952e-11,4.3196946e-10,1.8656357e-10
120000,2.9834881e-09,3.2979196e-11,5.9782305e-12,1.1098995e-12,5.520673e-11,1.1680717e-11,8.500692e-10,2.515826e-10,1.3380166e-10,2.7649289e-11,4.790073e-10,1.7285005e-10
130000,3.1208591e-09,3.491865e-11,1.0360309e-11,2.0395749e-12,5.919923e-11,1.8982614e-11,8.7009844e-10,2.5597255e-10,1.8273924e-10,3.7886392e-11,4.7800863e-10,2.2710216e-10
140000,3.2437775e-09,3.5411733e-11,8.736807e-12,1.6615289e-12,6.059489e-11,2.6829362e-11,9.037227e-10,2.5382083e-10,1.6442991e-10,3.3902662e-11,4.858911e-10,2.6636926e-10
150000,3.3733905e-09,3.8891897e-11,8.778925e-12,1.6620196e-12,6.391113e-11,2.3415096e-11,9.205022e-10,2.651234e-10,1.6375451e-10,3.390214e-11,5.037308e-10,2.4295185e-10
160000,3.506882e-09,3.9001323e-11,7.146525e-12,1.3741508e-12,6.235784e-11,3.1684898e-11,9.373682e-10,2.644241e-10,1.41059e-10,3.023484e-11,5.096901e-10,2.8288774e-10
170000,3.6499508e-09,3.5429923e-11,8.285197e-12,1.5640194e-12,5.604529e-11,2.898918e-11,9.437521e-10,2.4281796e-10,1.5596013e-10,3.2657065e-11,4.637098e-10,2.6523767e-10
180000,3.774201e-09,3.2458754e-11,4.408759e-12,7.4603843e-13,4.656859e-11,3.6270837e-11,9.680587e-10,2.2353328e-10,1.0055444e-10,2.1641973e-11,4.2508919e-10,3.0005265e-10
190000,3.9042676e-09,3.2138563e-11,8.639912e-12,1.6816156e-12,4.5998472e-11,3.2669492e-11,9.780101e-10,2.1857571e-10,1.5502073e-10,3.344204e-11,4.160442e-10,2.7520738e-10
200000,4.0343977e-09,2.976507e-11,8.4263785e-12,1.6359299e-12,4.215014e-11,2.9043167e-11,9.89431e-10,2.0218043e-10,1.5292446e-10,3.275289e-11,4.0331494e-10,2.5130645e-10
210000,4.1577284e-09,2.5822658e-11,9.094308e-12,1.7132429e-12,3.3030856e-11,3.0291162e-11,1.0121533e-09,1.7943969e-10,1.6019089e-10,3.3830504e-11,3.70988e-10,2.5447489e-10
220000,4.2790913e-09,2.8574526e-11,4.1210013e-12,6.2738297e-13,3.60522e-11,3.492744e-11,1.0251202e-09,1.8693956e-10,8.6123664e-11,1.8817649e-11,3.6793035e-10,2.7513122e-10
230000,4.405114e-09,3.0704637e-11,8.183515e-12,1.5420719e-12,4.000842e-11,4.4311194e-11,1.0328428e-09,1.96281e-10,1.4519878e-10,3.1261674e-11,3.8342857e-10,3.2073721e-10
240000,4.523899e-09,3.244012e-11,6.4115527e-12,1.0903235e-12,4.0297553e-11,4.83009e-11,1.0532591e-09,2.0118551e-10,1.1957095e-10,2.5407568e-11,3.874043e-10,3.3222122e-10
250000,4.643558e-09,2.9720438e-11,5.512779e-12,9.154612e-13,3.61056e-11,4.4516963e-11,1.0741578e-09,1.8259436e-10,1.0926913e-10,2.3338064e-11,3.7059808e-10,3.127966e-10
